004 942,LEGRAND PEINE DE ALIMENTACION P/4 APARATOS TRIPOLARES,A1E10
112954,ELEXCO FUSIBLE CILINDRICO DYFUS ZR CLASE AM 10X38 8AMP,A1E11
193100000,WEIDMULLER FUSIBLE G 25/10.0A/M RT,A1E12
2102,IDE CLAVIJA AEREA 3P+T 16A 220V 9H AZUL IP44,A1E13
22.63,FINDER MODULO AUXILIAR PARA S2232-34 2NA,A1E14
22.65,FINDER MODULO AUXILIAR PARA S2244-64 1NA-1NC,A1E15
2205,IDE TOMA AEREA 3P+T 32A 220V 9H AZUL IP44,A1E16
22901,LEGRAND BLOCK DE CONTASTOS NC,A1E17
236510000,WEIDMULLER RIEL PERFORADO 1M TS 35X15/LL/ZN,A1E18
3102,IDE CLAVIJA AEREA 3P+T 16A 440V 6H ROJO,A1E19
3106,IDE CLAVIJA AEREA 3P+N+T 32A 440V 6H ROJA,A1E20
032151-0,TOPE SIN AISLAR 12-10 AWG,A1E21
032994-0,"OJILLO SIN AISLAR 12-10 AWG 5/32""""",A1E22
032995-0,"ESPADA SIN AISLAR 12-10 AWG 5/32""""",A1E23
033220-0,"OJILLO SIN AISLAR 12-10 AWG 3/8""""",A1E24
3326,IDE BASE MURAL 3P+N+T 32A 440V 6H ROJ,A1E25
033456-0,"OJILLO SIN AISLAR 12-10 AWG 1/8""""",A1E26
033457-0,"OJILLO SIN AISLAR 12-10 AWG 3/16""""",A1E27
033458-0,"OJILLO SIN AISLAR 12-10 AWG 1/2""""",A1E28
033460-0,"OJILLO SIN AISLAR 8 AWG 3/16""""",A1E29
033461-0,"OJILLO SIN AISLAR 8 AWG 1/4""""",A1E30
033462-0,"OJILLO SIN AISLAR 8 AWG 5/16""""",A1E31
033463-0,"OJILLO SIN AISLAR 8 AWG 3/8""""",A1E32
033464-0,"OJILLO SIN AISLAR 6 AWG 3/16""""",A1E33
033465-0,"OJILLO SIN AISLAR 6 AWG 1/4""""",A1E34
