1,004 942,LEGRAND PEINE DE ALIMENTACION P/4 APARATOS TRIPOLARES,AB10
2,112954,ELEXCO FUSIBLE CILINDRICO DYFUS ZR CLASE AM 10X38 8AMP,AB11
3,193100000,WEIDMULLER FUSIBLE G 25/10.0A/M RT,AB12
4,2102,IDE CLAVIJA AEREA 3P+T 16A 220V 9H AZUL IP44,AB13
5,22.63,FINDER MODULO AUXILIAR PARA S2232-34 2NA,AB14
6,22.65,FINDER MODULO AUXILIAR PARA S2244-64 1NA-1NC,AB15
7,2205,IDE TOMA AEREA 3P+T 32A 220V 9H AZUL IP44,AB16
8,22901,LEGRAND BLOCK DE CONTASTOS NC,AB17
9,236510000,WEIDMULLER RIEL PERFORADO 1M TS 35X15/LL/ZN,AB18
10,3102,IDE CLAVIJA AEREA 3P+T 16A 440V 6H ROJO,AB19
11,3106,IDE CLAVIJA AEREA 3P+N+T 32A 440V 6H ROJA,AB20
12,032151-0,TOPE SIN AISLAR 12-10 AWG,AB21
13,032994-0,"OJILLO SIN AISLAR 12-10 AWG 5/32""""",AB22
14,032995-0,"ESPADA SIN AISLAR 12-10 AWG 5/32""""",AB23
15,033220-0,"OJILLO SIN AISLAR 12-10 AWG 3/8""""",AB24
16,3326,IDE BASE MURAL 3P+N+T 32A 440V 6H ROJ,AB25
17,033456-0,"OJILLO SIN AISLAR 12-10 AWG 1/8""""",AB26
18,033457-0,"OJILLO SIN AISLAR 12-10 AWG 3/16""""",AB27
19,033458-0,"OJILLO SIN AISLAR 12-10 AWG 1/2""""",AB28
20,033460-0,"OJILLO SIN AISLAR 8 AWG 3/16""""",AB29
21,033461-0,"OJILLO SIN AISLAR 8 AWG 1/4""""",AB30
22,033462-0,"OJILLO SIN AISLAR 8 AWG 5/16""""",AB31
23,033463-0,"OJILLO SIN AISLAR 8 AWG 3/8""""",AB32
24,033464-0,"OJILLO SIN AISLAR 6 AWG 3/16""""",AB33
25,033465-0,"OJILLO SIN AISLAR 6 AWG 1/4""""",AB34
26,033466-0,"OJILLO SIN AISLAR 6 AWG 5/16""""",AB35
27,033467-0,"OJILLO SIN AISLAR 6 AWG 3/8""""",AB36
28,033468-0,"OJILLO SIN AISLAR 6 AWG 1/2""""",AB37
29,033469-0,"OJILLO SIN AISLAR 4 AWG 1/4""""",AB38
30,033470-0,"OJILLO SIN AISLAR 4 AWG 5/16""""",AB39
31,033471-0,"OJILLO SIN AISLAR 4 AWG 3/8""""",AB40
32,033472-0,"OJILLO SIN AISLAR 4 AWG 1/2""""",AB41
33,340460000,WEIDMULLER CLEMA DE PASO AKZ 1.5,AB42
34,034108-0,"OJILLO SIN AISLAR 22-16 AWG 5/32""""",AB43
35,034109-0,"OJILLO SIN AISLAR 22-16 AWG 3/16""""",AB44
36,034113-0,"OJILLO SIN AISLAR 22-16 AWG 1/4""",AB45
37,034118-0,"ESPADA SIN AISLAR 22-16 AWG 3/16""",AB46
38,034122-0,"OJILLO SIN AISLAR 16-14 AWG 5/32""""",AB47
39,034123-0,"OJILLO SIN AISLAR 16-14 AWG 3/16""""",AB48
40,034125-0,"OJILLO SIN AISLAR 16-14 AWG 5/16""""",AB49
41,034129-0,"ESPADA SIN AISLAR 16-14 AWG 3/16""""",AB50
42,034144-0,"OJILLO AISLADO ROJO 22-16 AWG 1/8""""",AB51
43,034145-0,"OJILLO AISLADO ROJO 22-16 AWG 5/32""""",AB52
44,034146-0,"OJILLO AISLADO ROJO 22-16 AWG 3/16""""",AB53
45,034150-0,"OJILLO AISLADO ROJO 22-16 AWG 1/4""""",AB54
46,034151-0,"OJILLO AISLADO ROJO 22-16 AWG 5/16""""",AB55
47,034156-0,"ESPADA AISLADA ROJA 22-16 AWG 3/16""""",AB56
48,034159-0,"OJILLO AISLADO AZUL 16-14 AWG 1/8""""",AB57
49,034160-0,"OJILLO AISLADO AZUL 16-14 AWG 5/32""""",AB58
50,034161-0,"OJILLO AISLADO AZUL 16-14 AWG 3/16""""",AB59
51,034162-0,"OJILLO AISLADO AZUL 16-14 AWG 1/4""""",AB60
52,034163-0,"OJILLO AISLADO AZUL 16-14 AWG 5/16""""",AB61
53,034164-0,OJILLO AISLADO AZUL 16-14 AWG AZUL 5/8,AB62
54,034167-0,"ESPADA AISLADA AZUL 16-14 AWG 3/16""""",AB63
55,034167-1,"ESPADA AISLADA AZUL 16-14 AWG 1/4""""",AB64
56,034173-0,"OJILLO AISLADO AMARILLO 12-10 AWG 3/8""""",AB65
57,034176-0,"ESPADA AISLADA AMARILLA 12-10 AWG 3/16""""",AB66
58,034837-0,"OJILLO AISLADO AMARILLO 12-10 AWG 1/2""""",AB67
59,034853-0,"OJILLO AISLADO AMARILLO 12-10 AWG 5/32""""",AB68
60,034854-0,"OJILLO AISLADO AMARILLO 12-10 AWG 3/16""""",AB69
61,034857-0,"ESPADA AISLADA 12-10 AWG 5/32""""",AB70
